10_ulysses_3.tsp,121.601000070572,138.995276295894,[2,2,2,1,3,1,1,1,3, 2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52_berlin_9.tsp,232.434000015259,58201.4659809128,[1,7,7,1,1,5,7,6,6,9,3,5,1,3,4,8,8,2,6,8,7,7,8,2,1,5,3,1,7,8,8,4,9,2,2,2,4,9,9,6,6,7,4,8,2,5,1,4,9,8,3, 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,
70_st_3.tsp,126.088000059128,30003.0672044953,[3,3,2,2,3,2,3,1,2,1,1,3,3,2,2,3,1,2,2,2,1,3,3,2,1,3,1,2,3,2,3,2,1,1,3,3,1,3,1,1,2,2,2,2,1,1,3,1,2,3,1,1,3,1,2,1,2,3,3,1,1,1,3,1,3,3,1,2,3, 3],,,,,,,,,,
70_st_6.tsp,151.434000015259,14448.8326164242,[6,5,2,4,6,2,2,4,5,3,3,6,1,4,4,1,5,1,4,2,6,4,1,4,4,2,3,2,1,4,1,2,6,3,1,1,6,1,3,5,5,2,2,2,5,3,6,3,2,6,6,3,4,6,2,6,2,6,4,5,5,3,1,3,5,1,3,5,4, 1],,,,,,,,,,
70_st_9.tsp,188.197000026703,8354.18451852179,[9,1,1,4,9,7,1,1,6,8,8,2,3,7,5,9,4,4,5,7,2,5,3,7,2,1,6,7,3,4,3,1,2,4,3,9,4,3,6,6,7,5,8,4,6,6,3,8,1,9,2,9,2,8,1,8,1,7,5,2,6,2,8,9,8,5,8,4,5, 3],,,,,,,,,,
80_gr_3.tsp,146.802999973297,25454.0872861891,[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,3,2,2,2,3,3,3,3,3,1,1,3,1,1,1,2,1,3,1,3,3,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, 1]
80_gr_6.tsp,152.352999925613,9643.66566550574,[5,3,3,3,3,3,3,3,3,3,1,3,3,3,3,5,6,6,6,5,6,6,6,2,5,6,6,4,5,5,5,5,3,1,1,5,5,1,1,2,1,5,1,5,1,1,1,2,6,1,2,1,2,2,2,2,2,2,4,2,4,4,6,4,6,6,4,4,2,4,4,4,4,4,4,4,4,4,1, 2]
80_gr_9.tsp,368.994000196457,6976.80612746798,[2,9,9,9,4,9,9,9,9,4,3,4,9,4,4,6,4,4,4,6,1,1,4,6,5,1,1,1,9,2,2,2,3,2,3,3,2,8,8,3,6,3,3,6,3,5,5,6,3,8,5,5,9,5,6,5,5,6,5,7,5,6,1,7,1,1,1,7,7,7,8,7,8,8,8,8,7,7,8, 2]
100_kroA_3.tsp,,2.08E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_kroA_6.tsp,,802227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_kroA_9.tsp,,530466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202_gr_3.tsp,,90873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
